IPO,IPO_Size,Subscription,GMP,IPO Price,Estimated Price,Estimated Percentage,Listing Price,Listing Percentage,LT Price,LT Percentage,Risk_Category,Listing_Year,Listing_Month,Risk_Category_Encoded
Heranba Industries Limited IPO (),-0.312488424,0.616927345,0.898933592,0.46949266,0.709407747,0.6208828,0.686656648,0.486196247,-0.272672503,-0.194207573,Low,2021,3,0
Nureca Limited IPO (),-0.542681392,-0.11377802,-0.198030971,-0.153344617,-0.194804669,-0.225290863,0.101854407,0.751315617,-0.272672503,-0.194207573,Low,2021,2,0
RailTel IPO (),-0.266741408,-0.07232195,-0.52712034,-0.992940241,-0.969843882,-0.45239381,-0.936426063,-0.229963618,-0.272672503,-0.194207573,Low,2021,2,0
"Stove Kraft IPO (STOVEKRAFT,543260)",-0.422739346,-0.482838157,-0.38999977,-0.194501265,-0.300684342,-0.503707158,-0.201832371,-0.091301773,-0.32155475,-0.328923407,Medium,2021,2,1
"HFFC Limited IPO (HOMEFIRST,543259)",-0.138416501,-0.33740487,0.07621017,0.170421016,0.160951036,-0.037583325,0.095698594,-0.172317682,0.279845018,0.018160078,Low,2021,2,0
"Indigo Paints IPO (INDIGOPNTS,543258)",-0.129868669,1.185347363,3.531648543,2.837371821,3.553335789,0.861890009,4.189314282,1.302327667,1.162688026,-0.51585468,High,2021,2,2
"IRFC IPO (IRFC,543257)",1.196572273,-0.727867124,-0.581968568,-1.179517046,-1.135016173,-0.771529729,-1.108788829,-0.744362708,-0.919991957,0.925216854,Low,2021,1,0
"Antony Waste Ltd IPO (AWHCL,543254)",-0.465954239,-0.533225819,0.377875424,-0.386565624,-0.152452799,1.034700123,-0.277754065,0.303650785,-0.311185788,-0.105888887,Low,2021,1,0
"Mrs. Bectors Food IPO (BECTORFOOD,543253)",-0.373666041,2.550364306,0.597268337,-0.46064759,-0.124924084,1.666681939,-0.123858739,1.312194989,0.783480291,1.918279917,Low,2020,12,0
Burger King IPO (),-0.270286379,1.853194542,-0.346121187,-1.086228644,-0.971961475,1.568027889,-0.924114437,1.751031164,-0.272672503,-0.194207573,Low,2020,12,0
Gland Pharma IPO (),1.904864527,-0.751965571,0.065240524,2.864809587,2.236192645,-0.544095728,2.348726176,-0.280858227,-0.272672503,-0.194207573,Low,2020,11,0
"Likhitha Infrastructure IPO (LIKHITHA,543240)",-0.557567204,-0.626417717,-0.549059631,-0.921602051,-0.923256825,-0.639108186,-0.893335372,-0.428089062,-0.602997991,0.545237642,Low,2020,10,0
"Mazagon Dock IPO (MAZDOCK,543237)",-0.410823023,1.866002108,-0.006062173,-0.853007637,-0.660675234,1.592525874,-0.718920668,0.607460445,1.989242386,9.235676999,Low,2020,10,0
"UTI AMC IPO (UTIAMC,543238)",2.649611674,-0.747752556,-0.658756088,0.269196972,-0.046573125,-0.888391741,-0.134118427,-0.89756587,0.137642117,-0.194207573,Low,2020,10,0
"CAMS IPO (NA,543232)",0.279107505,0.00519753,1.217053315,2.123989919,2.109137037,0.078285526,1.95475414,-0.036512167,3.094277427,0.431780952,Low,2020,10,0
"Chemcon IPO (CHEMCON,543233)",-0.472088882,1.729331893,1.118326505,-0.31797121,0.186362158,2.213913967,0.339879179,2.34177217,-0.641511276,-0.678841444,High,2020,10,2
Angel Broking IPO (),-0.350853918,-0.720283696,-0.609392682,-0.411259613,-0.552677966,-0.858596894,-0.595804407,-0.907433192,-0.272672503,-0.194207573,Low,2020,10,0
"Route Mobile IPO (ROUTE,543228)",-0.350853918,0.448575256,1.118326505,-0.290533444,0.207538092,2.12750891,0.311152051,2.078470465,1.248602278,2.024799414,Low,2020,9,0
